Name,Geburtsdatum,Geburtsort,Sterbedatum,Quelle,Sterbeort,Biografie,GND,Bild,,Biolex-Link
"GRIEBEL, Friedrich Carl",22.12.1788,Meldorf,13.11.1861,9;1991,Heide,"GRIEBEL, Friedrich Carl, geb. 22.12.1788 Meldorf, gest. 13.11.1861 Heide; ev. – Pfennigmeister d. Landschaft Norderdithmarschen.",1154951006,,,
"GRIEBEL, Ernst Friedrich Christian",18.1.1812,Schlichting (Norderdithmarschen),1.3.1885,9;1991,Meldorf,"GRIEBEL, Ernst Friedrich Christian, geb. 18.1.1812 Schlichting (Norderdithmarschen), gest. 1.3.1885 Meldorf; ev. – Kirchspielvogt, Amtsrichter.",1154952452,,,
"GRIEBEL, Theodor Georg Friedrich Milder Berthus",24.12.1838,Heide,15.2.1875,9;1991,Kiel,"GRIEBEL, Theodor Georg Friedrich Milder Berthus, geb. 24.12.1838 Heide, gest. 15.2.1875 Kiel, begr. Heide; ev. – Jurist, Politiker.",1155007913,,,
"GRIPP, Karl Christian Johannes",21.4.1891,Hamburg,26.2.1985,9;1991,Lübeck. Geologe,"GRIPP, Karl Christian Johannes, geb. 21.4.1891 Hamburg, gest. 26.2.1985 Lübeck. Geologe, Paläontologe.",116855207,,,
"GRÖGER, Friedrich Carl",14.10.1766,Plön,8.11.1838,5;1979,Hamburg,"GRÖGER, Friedrich Carl, geb. 14.10.1766 Plön, gest. 8.11.1838 Hamburg, begr. St.-Michaelis- Friedhof vor dem Dammtor; ev. – Maler.",118697943,,,
"GRÖNLAND, Peter",15.10.1761,Wilster,20.12.1825,1;1970,Kopenhagen,"GRÖNLAND, Peter, geb. 15.10.1761 Wilster, gest. 20.12.1825 Kopenhagen; ev. – Jurist, Musikkritiker, Volksliedsammler, Komponist.",116861150,,,
"GROSS (GROHS), Hans Friedrich",12.12.1892,Pahlen (Kr. Norderdithmarschen),28.11.1981,12;2006,Heide,"GROSS (GROHS), Hans Friedrich, geb. 12.12.1892 Pahlen (Kr. Norderdithmarschen), gest. 28.11.1981 Heide; ev. – Maler, Graphiker, Schriftsteller.",119222213,,,
"GROSSHEIM, Carl Friedrich Christian von",28.6.1776,Ilten b. Hannover,,12;2006,,"GROSSHEIM, Carl Friedrich Christian von, geb. 28.6.1776 Ilten b. Hannover, gest. 24.6.1851 Lübeck; ev. – Lehrer, Schulgründer.",1015771580,,,
"GROTH, Claus (Klaus) Johann",24.4.1819,Heide,1.6.1899,2;1971,Kiel,"GROTH, Claus (Klaus) Johann, geb. 24.4.1819 Heide, gest. 1.6.1899 Kiel, ev. – Dichter.",118542699,,,
"GRUBE, Hermann",10.10.1637,Lübeck,,13;2011,,"GRUBE, Hermann, geb. 10.10.1637 Lübeck, gest. vor d. 12.2.1698 Hadersleben (Haderslev); ev. – Arzt.",124552374,,,
"GUALTHERUS, Wolfgang Marcus",,,,5;1979,,"GUALTHERUS, Wolfgang Marcus, geb. um 1580 (?) Weinheim an d. Bergstraße (Kurpfalz), begr. 22.4.1642 Friedrichstadt; ref., Remonstrant. – Stadtsekretär in Friedrichstadt.",,,,
"GUDE, Marquard",1.2.1635,Rendsburg,26.11.1689,5;1979,Glückstadt,"GUDE, Marquard, geb. 1.2.1635 Rendsburg, gest. 26.11.1689 Glückstadt, begr. 6.2.1690 im Erbbegräbnis d. Familie in Rendsburg; ev. – Jurist, Bibliothekar, Philologe, Büchersammler.",117576050,,,
"GUDEWERDT, Hans (I)",,,1642,6;1982,ebd,"GUDEWERDT, Hans (I), geb. um 1570 vermutlich Eckernförde, gest. 1642 ebd.; ev. – Bildschnitzer.",118746626,,,
"GUDEWERDT (Gutewerdt, Gutewirth), Hans (II)",1599,/1600 Eckernförde,,6;1982,,"GUDEWERDT (Gutewerdt, Gutewirth), Hans (II), geb. 1599/1600 Eckernförde, begr. 12.2.1671 ebd.; ev. – Bildhauer.",118746634,,,
"GUDEWERDT, Hans (III)",1639,/1640 Eckernförde,,6;1982,,"GUDEWERDT, Hans (III), geb. 1639/1640 Eckernförde, gest. nach 1709 (nicht Eckernförde); ev. – Bildschnitzer.",136151051,,,
"GÜLICH, Wilhelm Daniel Johannes Otto",7.6.1895,Sachsenberg (Waldeck),,1;1970,,"GÜLICH, Wilhelm Daniel Johannes Otto, geb. 7.6.1895 Sachsenberg (Waldeck), gest. 15.4.1960 Bad Pyrmont, begr. Sachsenberg; ev. – Bibliotheksdirektor.",118698869,,,
GÜTSCHOW Anton Diedrich,14.11.1765,Lübeck,2.11.1833,13;2011,ebd.,"GÜTSCHOW Anton Diedrich, geb. 14.11.1765 Lübeck, gest. 2.11.1833 ebd.; ev. – Jurist, Senatssyndikus, Maire.",116917628,,,
"GULIELMUS (Gulielmius, Wilhelms, Wilhelmi), Janus (Ioannes, Johannes)",1555,Lübeck,1584,12;2006,Bourges (Frankreich,"GULIELMUS (Gulielmius, Wilhelms, Wilhelmi), Janus (Ioannes, Johannes), geb. 1555 Lübeck, gest. 1584 Bourges (Frankreich); ev., zwischen 1579 und 1581 Konversion zum kath. Glauben. – Philologe, Dichter.",10408345X,,,
"HAAS, Hippolyt Julius",5.11.1855,Stuttgart,2.9.1913,11;2000,München,"HAAS, Hippolyt Julius, geb. 5.11.1855 Stuttgart, gest. 2.9.1913 München; ev. – Paläontologe, Geologe.",116347295,,,
"HABLIK, Wenzel August Dominik",4.8.1881,Brüx,23.3.1934,1;1970,Itzehoe,"HABLIK, Wenzel August Dominik, geb. 4.8.1881 Brüx, Sudetenland, gest. 23.3.1934 Itzehoe, Krs. Steinburg; röm.-kath. – Akademischer Maler, Radierer.",118544217,,,
"HABLIK-LINDEMANN, Abeline Elisabeth",23.8.1879,Westerwohld,15.8.1960,1;1970,Itzehoe,"HABLIK-LINDEMANN, Abeline Elisabeth, geb. 23.8.1879 Westerwohld, Ksp. Nordhastedt (Dithmarschen), gest. 15.8.1960 Itzehoe, Krs. Steinburg; ev. – Kunstgewerblerin, Handwebemeisterin.",122149203,,,
HACH-FAMILIE,,,,10;1994,,"HACH-FAMILIE. Ursprünglich stammt die Lübecker Familie H. aus Hessen. Ältester bekannter Vorfahr ist Conrad Hach, 1587–1593 Pastor in Niederramstadt und seit 1594 in Steinheim, wo er 1613 starb. Seine Kinder und Enkelkinder lebten noch alle in Hessen, der älteste Sohn, Johann Conrad (1605–1661), als Steinsetzer in Groß Bieberau (Kreis Dieburg). Dessen erster Sohn, Johann Peter (1642–1726), wurde wieder Theologe; er war von 1666 bis 1675 Rektor der Schule in Neustadt (Hessen), danach Pastor in Sprachbrücken und seit 1679 Pastor in Groß Bieberau. In der nächsten Generation gelangte ein Zweig der Familie nach Norddeutschland, denn Johann Peters ältester Sohn, Johann Leonhard (1674–1750), der ebenfalls Theologe war, wurde Rektor der Schule in Lütjenburg und heiratete dort eine Tochter des Ratsherrn Jürgen Schöning. Die vier Söhne des Lütjenburger Rektors gingen alle nach Lübeck. Der älteste, Johann Jürgen Friedrich (1723–1795), wählte den Kaufmannsberuf und schloß sich in Lübeck der Rigafahrerkompanie an, zu deren Ältestem er später gewählt wurde. Aus seiner Ehe mit Johanna Burghardi gingen fünf Kinder hervor (drei weitere starben früh), von denen der zweite Sohn, Johann Friedrich (1769–1851), der für die Geschichte Lübecks bedeutendste Vertreter der Familie H. ist. Nach dem Studium der Rechtswissenschaften war er zunächst Anwalt in Lübeck, 1805 wurde er in den Senat gewählt, und 1820 wechselte er als Rat in das in Lübeck neuerrichtete Oberappellationsgericht der vier freien Städte Deutschlands. Neben seinen dienstlichen Obliegenheiten wandte er sich der Erforschung des lübischen Rechts und der lübeckischen Geschichte zu und begründete damit eine Tradition, die auch von den nachfolgenden Generationen der Familie H. weitergepflegt wurde. Von seinen sechs Kindern wurde der älteste Sohn, Hermann Wilhelm (1800–1867), ebenfalls Jurist und 1845 Senator. Der jüngste Sohn, August (1810–1882), war Landwirt und entfaltete eine rege Tätigkeit als landwirtschaftlicher Schriftsteller und Verbandsfunktionär.",,,,
"HACH, Friedrich Adolph",13.7.1832,Lübeck,4.12.1896,10;1994,ebd.,"HACH, Friedrich Adolph, geb. 13.7.1832 Lübeck, gest. 4.12.1896 ebd.; ev. – Jurist, Historiker.",140281096,,,
"HACH, Friedrich August",13.5.1810,Lübeck,7.10.1882,10;1994,Kiel,"HACH, Friedrich August, geb. 13.5.1810 Lübeck, gest. 7.10.1882 Kiel; ev. – Landwirt, Verbandsfunktionär.",122216652,,,
"HACH, Ernst Wilhelm Eduard",23.12.1841,Lübeck,25.3.1917,10;1994,ebd.,"HACH, Ernst Wilhelm Eduard, geb. 23.12.1841 Lübeck, gest. 25.3.1917 ebd.; ev. – Jurist, Historiker.",136804667,,,
"HACH, Johann Friedrich",12.8.1769,Lübeck,29.3.1851,10;1994,ebd.,"HACH, Johann Friedrich, geb. 12.8.1769 Lübeck, gest. 29.3.1851 ebd.; ev. – Jurist, Diplomat, Historiker.",116351330,,,
"HACH, Arnold Henrich Theodor",31.12.1846,Lübeck,17.11.1910,10;1994,ebd.,"HACH, Arnold Henrich Theodor, geb. 31.12.1846 Lübeck, gest. 17.11.1910 ebd.; ev. – Jurist; Kulturhistoriker.",116351357,,,
"HÄBERLIN, Carl Albert",15.12.1870,Ranchi (Bethesda),,7;1985,,"HÄBERLIN, Carl Albert, geb. 15.12.1870 Ranchi (Bethesda), Indien, gest. 12.11.1954 Wyk auf Föhr; ev. – Arzt, Heimatforscher.",11936283X,,,
"HÄCKER, Gottfried Renatus",29.7.1789,Barby b. Magdeburg,7.10.1864,11;2000,Lübeck,"HÄCKER, Gottfried Renatus, geb. 29.7.1789 Barby b. Magdeburg, gest. 7.10.1864 Lübeck; ev. – Apotheker, Botaniker.",1047794217,,,
"HÄHNSEN, Fritz Heinrich Anton",3.4.1892,Kiel,9.9.1965,11;2000,Bad Orb,"HÄHNSEN, Fritz Heinrich Anton, geb. 3.4.1892 Kiel, gest. 9.9.1965 Bad Orb, begr. Flensburg; ev. – Jurist, Syndikus, Historiker.",1027842593,,,
"HÄNEL, Albert Friedrich",10.6.1833,Leipzig,12.5.1918,4;1976,Kiel,"HÄNEL, Albert Friedrich, geb. 10.6.1833 Leipzig, gest. 12.5.1918 Kiel; ev. – Universitätsprof. der Rechte, Politiker.",118700200,,,
"HAGEDORN, Jürgen Hermann Dittmar",18.8.1910,Schleswig,,8;1987,,"HAGEDORN, Jürgen Hermann Dittmar, geb. 18.8.1910 Schleswig, gest. 25.1.1981 Schrevenborn b. Kiel; ev. – Jurist, Land- und Forstwirt, Generallandschaftsdirektor.",102498656X,,,
"HAHN, Joachim Karl Heinrich Willy",1.11.1887,Krieschow,,11;2000,,"HAHN, Joachim Karl Heinrich Willy, geb. 1.11.1887 Krieschow, Kr. Cottbus, gest. 12.7.1930 Freiburg (Breisgau); ev. – Architekt, Stadtbaurat.",116406623,,,
"HAHN, GRAFEN VON",,,,2;1971,,"HAHN, GRAFEN VON, Die Grafen v. H.-Neuhaus entstammen dem mecklenburgischen Uradel, der mit Egkehardus Hane 1320 das erste Mal urkundlich erwähnt wird. Seit dem 14. Jh. ist eine Linie des Geschlechts auch in Livland und Estland ansässig; seit 1469 Erbmarschälle des Landes Stargard aus der H.schen Familie. Mit Ludwig Stats I. (1657–1730), der Katharine Margarethe von Rantzau (1679– 1741) heiratete, war die Familie auch in Schleswig-Holstein ansässig. Seit 1737 gehört der Familie das Gut Neuhaus in Holstein, vormals rantzauischer Besitz. Ludwig Stats I. war kgl. dänischer Geheimer Rat, Hofmarschall und Oberlanddrost der Grafschaft Oldenburg. Unter Friedrich I. v. H. (1705–1772) wurde sie 1756 in die schleswig-holsteinische Ritterschaft aufgenommen. Friedrich II. v. H. wurde 1802 in den erblichen Reichsgrafenstand erhoben. Mit seinen Söhnen Ferdinand (1779–1805) und Friedrich Karl teilte sich die Familie in zwei Linien. Die erste war im Mecklenburgischen beheimatet und blieb lutherisch. Die zweite hatte ihre Besitzungen in Holstein und wurde mit Ferdinand Götz Gustav Graf v. H. (1809–1888) und Ida Gräfin H.-H. katholisch. Ferdinand Götz Gustav Graf v. H. war kgl. dänischer Kammerherr und Hofjägermeister.",,,,
"HAHN, Friedrich von",27.7.1742,Neuhaus,9.10.1805,2;1971,Remplin,"HAHN, Friedrich von, geb. 27.7.1742 Neuhaus, Holstein, gest. 9.10.1805 Remplin, Krs Malchin, Mecklenburg; ev. – Gutsbesitzer, Astronom.",116386339,,,
"HAHN-HAHN, Ida Marie Louise Sophie Friederike Gustave Gräfin von",22.6.1805,Tressow,12.1.1880,2;1971,Mainz,"HAHN-HAHN, Ida Marie Louise Sophie Friederike Gustave Gräfin von, geb. 22.6.1805 Tressow, Mecklenburg, gest. 12.1.1880 Mainz; ev., seit 1850 kath. – Schriftstellerin.",118544918,,,
"HAHN, Karl Friedrich Graf von",18.5.1782,Remplin,21.5.1857,2;1971,Altona,"HAHN, Karl Friedrich Graf von, geb. 18.5.1782 Remplin, Mecklenburg, gest. 21.5.1857 Altona; ev. – Erblandmarschall v. Mecklenburg, Theaterdirektor.",116391448,,,
"HALFMANN, Wilhelm Heinrich Leonhard",12.5.1896,Wittenberg,8.1.1964,1;1970,Kiel,"HALFMANN, Wilhelm Heinrich Leonhard, geb. 12.5.1896 Wittenberg, gest. 8.1.1964 Kiel, begr. 11.1.1964 ebd.; ev. – Theologe.",118700952,,,
"HAMKENS, Peter Hermann Otto",15.12.1887,Hoyerswort b. Tönning,,12;2006,,"HAMKENS, Peter Hermann Otto, geb. 15.12.1887 Hoyerswort b. Tönning, gest. 16.4.1969 Tönning; ev. – Gutsbesitzer, Rechtsanwalt, Landrat.",,,,
"HAMKENS, Carl Wilhelm Hugo",24.2.1883,Hoyerswort b. Tönning,4.10.1962,12;2006,Husum,"HAMKENS, Carl Wilhelm Hugo, geb. 24.2.1883 Hoyerswort b. Tönning, gest. 4.10.1962 Husum; ev., 1925 bis 1933 konfessionslos. – Rechtsanwalt, Landrat, Regierungspräsident.",122323963,,,
"HAMMERSTEIN, Christian Freiherr von",18.6.1769,Kastorf (Hzgt. Lauenburg),11.4.1850,12;2006,Uelzen,"HAMMERSTEIN, Christian Freiherr von, geb. 18.6.1769 Kastorf (Hzgt. Lauenburg), gest. 11.4.1850 Uelzen; ev. – Offizier, Landwirt, landwirtschaftlicher Schriftsteller.",123017203,,,
"HANKE, Johann Carl",,,10.6.1803,12;2006,Flensburg,"HANKE, Johann Carl, get. 5.12.1749 (nicht 1750) Markt Roßwald (Slezké Rudoltice, Tschechien) b. Jägerndorf (Krnov, Tschechien), gest. 10.6.1803 Flensburg; kath. – Komponist, Dirigent.",116011157X,,,
HANS (JOHANN) der Ältere,29.6.1521,Haderslevhus,,7;1985,,"HANS (JOHANN) der Ältere, geb. 29.6.1521 Haderslevhus, gest. in d. Nacht vom 1. auf d. 2.10.1580 Hansburg b. Hadersleben, begr. Schleswig (Dom); ev. – Herzog von Schleswig-Holstein- Hadersleben.",102326517,,,
HANS (JOHANN) der Jüngere,25.3.1545,Koldinghus,9.10.1622,6;1982,Glücksburg,"HANS (JOHANN) der Jüngere, geb. 25.3.1545 Koldinghus, gest. 9.10.1622 Glücksburg, begr. Schloßkirche Sonderburg; ev. – Herzog von Schleswig-Holstein-Sonderburg.",121500373,,,
"HANS (JOHANN), Herzog von Schleswig-Holstein-Gottorf",19.3.1606,Schloß Gottorf,18.2.1655,8;1987,Eutin,"HANS (JOHANN), Herzog von Schleswig-Holstein-Gottorf, geb. 19.3.1606 Schloß Gottorf, gest. 18.2.1655 Eutin; begr. Schleswig (Dom); ev. Bischof von Lübeck.",118712292,,,
HANS DETLEFF,,,,5;1979,,"HANS DETLEFF, geb. um 1600 Windbergen, Süderdithmarschen, gest. vermutl. 1659 ebd.; ev. – Bauer, Chronist.",1161440550,,,
"HANSEN, Andreas",5.10.1795,Holm b. Leck (Nordfriesland),16.5.1860,11;2000,Leck,"HANSEN, Andreas, geb. 5.10.1795 Holm b. Leck (Nordfriesland), gest. 16.5.1860 Leck; ev. – Jurist, Amtmann, Politiker.",,,,
"HANSEN, Christian Friedrich (C. F.)",29.2.1756,Kopenhagen,10.7.1845,6;1982,Frederiksberg,"HANSEN, Christian Friedrich (C. F.), geb. 29.2.1756 Kopenhagen, gest. 10.7.1845 Frederiksberg, begr. Kopenhagen (Holmens Kirke); ev. – Architekt.",11854571X,,,
"HANSEN, Christian Peter (C. P.)",28.8.1803,Westerland,9.12.1879,7;1985,Keitum,"HANSEN, Christian Peter (C. P.), geb. 28.8.1803 Westerland, gest. 9.12.1879 Keitum; ev. – Lehrer, Heimatforscher, Zeichner.",118545728,,,
"HANSEN, Christoph Heinrich Michael",13.10.1861,Klockries,17.4.1940,8;1987,Breklum,"HANSEN, Christoph Heinrich Michael, geb. 13.10.1861 Klockries, Ksp. Lindholm, Kr. Nordfriesland, gest. 17.4.1940 Breklum, ev. – Pastor.",116455802,,,
"HANSEN, Johann Jürgen Heinrich",18.2.1804,Gaarden b. Kiel,6.10.1846,11;2000,Eckernförde,"HANSEN, Johann Jürgen Heinrich, geb. 18.2.1804 Gaarden b. Kiel, gest. 6.10.1846 Eckernförde; ev. – Politischer Journalist.",120303191,,,
"HANSEN, Heinrich",2.4.1881,Aachen,3.12.1955,4;1976,Kiel,"HANSEN, Heinrich, geb. 2.4.1881 Aachen, gest. 3.12.1955 Kiel; kath. – Architekt.",,,,
"HANSEN, Jap Peter (genannt Jap Köster)",8.7.1767,Westerland,9.8.1855,7;1985,Keitum,"HANSEN, Jap Peter (genannt Jap Köster), geb. 8.7.1767 Westerland, gest. 9.8.1855 Keitum; ev. – Seefahrer, Schulmeister, Navigationslehrer, Schriftsteller.",1048498646,,,
"HANSEN, Johann Matthias",10.4.1781,Kopenhagen,29.8.1850,6;1982,Altona,"HANSEN, Johann Matthias, geb. 10.4.1781 Kopenhagen, gest. 29.8.1850 Altona; ev. – Architekt",137073003,,,
"HANSEN, Johannes Nicolaus",9.3.1863,Nadelhöft,,4;1976,,"HANSEN, Johannes Nicolaus, geb. 9.3.1863 Nadelhöft, Kr. Flensburg, gest. 3.1.1938 Berlin- Zehlendorf, begr. in Königsberg/Pr.; ev. – Dr. phil., Professor f. Tierzucht.",129693189,,,
"HANSEN, Lars (Laß)",12.9.1788,Dollerupholz,,5;1979,,"HANSEN, Lars (Laß), geb. 12.9.1788 Dollerupholz, Ksp. Grundhof (Angeln), gest. 14.8.1876 Ausacker, Kps. Husby (Angeln); ev. – Lehrer, Botaniker.",1161814434,,,
"HANSEN, Peter Andreas",8.12.1795,Tondern,28.3.1874,11;2000,Gotha,"HANSEN, Peter Andreas, geb. 8.12.1795 Tondern, gest. 28.3.1874 Gotha; ev. – Geodät, Astronom.",119411253,,,
"HANSEN, Peter Christian",12.3.1853,Flensburg,20.10.1935,8;1987,Kiel,"HANSEN, Peter Christian, geb. 12.3.1853 Flensburg, gest. 20.10.1935 Kiel; ev. – Landesversicherungsrat, Sozialpolitiker.",118545752,,,
"HANSSEN, Georg",31.5.1809,Hamburg,19.12.1894,3;1974,Göttingen,"HANSSEN, Georg, geb. 31.5.1809 Hamburg, gest. 19.12.1894 Göttingen; ev. – Agrarhistoriker, Nationalökonom.",116461039,,,
"HARDER, Richard",19.1.1896,Tetenbüll,4.9.1957,4;1976,Zürich,"HARDER, Richard, geb. 19.1.1896 Tetenbüll, Kr. Nordfriesland, gest. 4.9.1957 Zürich, begr. Pöcking, Oberbayern; ev. – Klassischer Philologe.",118720333,,,
"HARDING, Karl Ludwig",29.9.1765,Lauenburg,31.8.1834,5;1979,Göttingen,"HARDING, Karl Ludwig, geb. 29.9.1765 Lauenburg, gest. 31.8.1834 Göttingen; ev. – Astronom.",116474580,,,
"HARMS, Christian Bernhard Cornelius",30.6.1876,Detern (Ostfriesland),,12;2006,,"HARMS, Christian Bernhard Cornelius, geb. 30.6.1876 Detern (Ostfriesland), gest. 21.9.1939 Berlin; ev. – Wirtschaftswissenschaftler.",118701657,,,
"HARMS, Carsten",26.5.1830,Witzwort (Eiderstedt),7.3.1897,1;1970,Niebüll,"HARMS, Carsten, geb. 26.5.1830 Witzwort (Eiderstedt), gest. 7.3.1897 Niebüll; ev. – Tierarzt, Prof. Dr. med. a. d. Tierarzneischule Hannover.",101827961X,,,
"HARMS, Claus",28.5.1778,Fahrstedt,1.2.1855,2;1971,Kiel,"HARMS, Claus, geb. 28.5.1778 Fahrstedt, Süderdithmarschen, gest. 1.2.1855 Kiel; ev. – Theologe.",118546007,,,
"HARMS, August Heinrich Christian",23.6.1861,Brackrade,,3;1974,,"HARMS, August Heinrich Christian, geb. 23.6.1861 Brackrade, Ksp. Bosau, gest. 30.7.1933 Hannover; ev. – Geograph, Kartograph.",118701681,,,
"HARRIES, Heinrich",9.9.1762,Flensburg,28.9.1802,11;2000,Brügge b. Bordesholm,"HARRIES, Heinrich, geb. 9.9.1762 Flensburg, gest. 28.9.1802 Brügge b. Bordesholm; ev. – Pastor, Schriftsteller.",122057430,,,
"HARRING, Harro Paul Kasimir (Ps.: Hamlet, Hopfer, Kasimirowicz, Johnes, John Felleisen)",28.8.1798,Ibenshof bei Wobbenbüll,15.5.1870,5;1979,St,"HARRING, Harro Paul Kasimir (Ps.: Hamlet, Hopfer, Kasimirowicz, Johnes, John Felleisen), geb. 28.8.1798 Ibenshof bei Wobbenbüll, Kr. Nordfriesland, gest. 15.5.1870 St.Hélier/Kanalinsel Jersey; ev.-luth. – Dichter, Maler, revolutionärer Politiker.",118701711,,,
"HARTMANN, Moritz",1657,Heiligenhafen,1695,13;2011,auf einem Schiff in d,"HARTMANN, Moritz, geb. 1657 Heiligenhafen, gest. 1695 auf einem Schiff in d. Ägäis; ev. – Seeoffizier.",1161277285,,,
HARTMANN-FAMILIE,24.10.1829,Plön,1812,,Marne,"HARTMANN-FAMILIE. Der Apotheker Carl Friedrich August Hartmann (1783–1850) heiratete, als er 1811 die Apotheke in Marne übernahm, Marina Jochims (1792–1853), die Tocher des Mamer Kaufmannes und Kirchspielsgevollmächtigten Jakob Jochims, (geb. 1750 Hembüttel bei Marne, gest. 1812 Marne). Ein Bruder des Jakob war der Schleswiger Landkommissar und Etatsrat Dr. phil. Peter Jochims (1762–1855), eine Schwester, Margaretha, die Ehefrau des Fahrstedter Müllermeisters Harms und Mutter des Kieler Propstes Claus Harms – Die Abb. Nr. 69, S. 123, bei Anna Hoffmann, Die Volkstrachten in Dithmarschen, 1962 Heide, zeigt das Innere des Hauses des Gevollmächtigten, den aus einer Tonpfeife rauchenden Jakob Jochims und die kleine Marina. – Von den Kindern des Carl Friedrich August Hartmann seien genannt: 1.) Ernst Gotthilf Rudolph, 2.) Claus Peter Hinrich Friedrich und 3.) Nicolaus Carl Magdalus H., geb. 24.10.1829 Plön, gest. 18. 12. 1899 Heide, Holstein, Dr. med. et chir., Sanitätsrat in Heide. Mitkämpfer von Idstedt und Friedrichstadt, Verfasser von Unterhaltungsromanen, Erzählungen und Schwänken (s. Alberti 1886, S. 264).",,,,
"HARTMANN, Ernst Gotthilf Rudolph",1.12.1816,Plön,19.1.1893,,Marne,"1.) HARTMANN, Ernst Gotthilf Rudolph, geb. 1.12.1816 Plön, gest. 19.1.1893 Marne, Dithmarschen; ev. – Arzt, Dithmarscher Heimatforscher.",12039474X,,,
"HARTMANN, Claus Peter Hinrich Friedrich",31.8.1821,Plön,29.3.1899,2;1971,Tellingstedt,"2.) HARTMANN, Claus Peter Hinrich Friedrichgeb. 31.8.1821 Plön, gest. 29.3.1899 Tellingstedt, Dithmarschen; ev. – Apotheker, Dithmarscher Heimatforscher.",,,,
"HARZ, Hans Carl Valentin",14.2.1860,Altona,13.8.1943,3;1974,Lübeck. – Schiffsmakler,"HARZ, Hans Carl Valentin, geb. 14.2.1860 Altona, gest. 13.8.1943 Lübeck. – Schiffsmakler, sozialreligiöser Schriftsteller.",102788234X,,,
"HASELOFF, Arthur Erich Georg",28.11.1872,Berlin,3.1.1955,4;1976,Kiel,"HASELOFF, Arthur Erich Georg, geb. 28.11.1872 Berlin, gest. 3.1.1955 Kiel; ev. – Kunsthistoriker.",116511567,,,
"HASSE, Johann Christian",24.7.1779,Kiel,18.11.1830,6;1982,Bonn,"HASSE, Johann Christian, geb. 24.7.1779 Kiel, gest. 18.11.1830 Bonn; ev. – Jurist.",100352332,,,
"HASSEL, Kai-Uwe von",21.4.1913,Gare (Deutsch-Ostafrika,,12;2006,,"HASSEL, Kai-Uwe von, geb. 21.4.1913 Gare (Deutsch-Ostafrika, heute Tansania), gest. 8. 5. 1997 Aachen, begr. Bonn-Bad Godesberg; ev. – Pflanzungskaufmann, Politiker.",118546694,,,
"HASSELMANN, Karl",22.2.1898,Brokdorf b. Itzehoe,27.5.1975,10;1994,Hamburg,"HASSELMANN, Karl, geb. 22.2.1898 Brokdorf b. Itzehoe, gest. 27.5.1975 Hamburg; ev. – Theologe, Landespropst.",1071717790,,,
"HAUPT, Friedrich Ludwig Richard",6.10.1846,Büdingen (Hessen),17.9.1940,10;1994,Preetz,"HAUPT, Friedrich Ludwig Richard, geb. 6.10.1846 Büdingen (Hessen), gest. 17.9.1940 Preetz, begr. Büdingen; ev. – Gymnasiallehrer, Kunsthistoriker, Provinzialkonservator.",116528044,,,
"HEBBEL, Christian Friedrich",18.3.1813,Wesselburen,13.12.1863,2;1971,Wien,"HEBBEL, Christian Friedrich, geb. 18.3.1813 Wesselburen, gest. 13.12.1863 Wien; ev. – Dichter.",118547445,,,
"HEBERLE, Rudolph",3.7.1896,Lübeck,20.4.1991,10;1994,Baton Rouge,"HEBERLE, Rudolph, geb. 3.7.1896 Lübeck, gest. 20.4.1991 Baton Rouge, Louisiana (USA). – Soziologe.",11925400X,,,
HEDDE-FAMILIE,,,,9;1991,,"HEDDE-FAMILIE. Die Familie H. ist seit der ersten Hälfte des 16. Jh. in Dithmarschen nachweisbar. Seit 1659 waren Mitglieder der Familie in fünf Generationen Kirchspielvögte in Albersdorf. Ein Johan H. wird 1559 als Wassermühlenbesitzer bei Schafstedt im Ksp. Albersdorf urkundlich erwähnt. Von diesem stammen alle bis in die Gegenwart nachweisbaren Familienmitglieder ab, von denen viele in landwirtschaftlichen Berufen blieben, viele aber auch akademische Berufe ergriffen, vor allem als Juristen. Verschiedene Familienzweige entstanden im Herzogtum Holstein, in Hamburg, Kopenhagen und auch in den USA. Die folgende Übersicht beschränkt sich auf die Darstellung des familiären Zusammenhangs zwischen einzelnen bemerkenswerteren Familienmitgliedern, die im Lande geboren wurden.",,,,
"HEDDE, Friedrich (Fred) August Peter",11.9.1818,Rendsburg,,9;1991,,"HEDDE, Friedrich (Fred) August Peter, geb. 11.9.1818 Rendsburg, gest. 5.3.1908 Grand Island (Nebraska); ev. – Jurist, Politiker",122135474,,,
"HEDDE, Peter Jacob",24.11.1791,Friedrichsgabekoog,6.5.1868,1;1970,Brunsbüttel,"HEDDE, Peter Jacob, geb. 24.11.1791 Friedrichsgabekoog, gest. 6.5.1868 Brunsbüttel; ev. – Kirchspielvogt.",1155037820,,,
HEDEMANN-FAMILIE,,,,,,"HEDEMANN-FAMILIE. Die Familie Hedemann führt ihren Ursprung auf einen katholischen Priester Johannes Hedemann zurück, der 1514 auf Veranlassung der Grafen von Diepholz in eine Vikarie auf ihrer Burg eingesetzt wurde. Die Einführung der Reformation ermöglichte es diesem Geistlichen, um 1524 zu heiraten. So wurde er der Stammvater einer zunächst in Niedersachsen verbreiteten, im 17. Jh. geadelten Beamtenfamilie. Ein Enkel dieses 1542 verstorbenen Klerikers war Erich Hedemann, der erste seines Geschlechts, der zu Schleswig-Holstein in Beziehung trat und dessen Name in der Landesgeschichte fortlebt.",,,,
